OBJECTID,STUD_AR_ID,STUD_AR_NM,STUD_AR_LBL,TOOLKIT_ID,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,populationtotals_totpop_cy,householdtotals_avghhsz_cy,householdincome_medhinc_cy,educationalattainment_nohs_cy,educationalattainment_somehs_cy,educationalattainment_hsgrad_cy,educationalattainment_ged_cy,educationalattainment_smcoll_cy,educationalattainment_asscdeg_c,educationalattainment_bachdeg_c,educationalattainment_graddeg_c,educationalattainment_educbasec,sports_mp33003a_b_i,sports_mp33004a_b_i,sports_mp33005a_b_i,sports_mp33012a_b_i,sports_mp33014a_b_i,sports_mp33015a_b_i,sports_mp33016a_b_i,sports_mp33020a_b_i,sports_mp33024a_b_i,sports_mp33025a_b_i,sports_mp33026a_b_i,sports_mp33028a_b_i,sports_mp33029a_b_i,sports_mp33030a_b_i,F5yearincrements_pop0_cy,F5yearincrements_pop5_cy,F5yearincrements_pop10_cy,F5yearincrements_pop15_cy,F5yearincrements_pop20_cy,F5yearincrements_pop25_cy,F5yearincrements_pop30_cy,F5yearincrements_pop35_cy,F5yearincrements_pop40_cy,F5yearincrements_pop45_cy,F5yearincrements_pop50_cy,F5yearincrements_pop55_cy,F5yearincrements_pop60_cy,F5yearincrements_pop65_cy,F5yearincrements_pop70_cy,F5yearincrements_pop75_cy,F5yearincrements_pop80_cy,F5yearincrements_pop85_cy,F5yearincrements_pop18up_cy,F1yearincrements_age18_cy,F1yearincrements_age19_cy,MEAN_Asthma,MEAN_Low_Birth_Weight,MEAN_Cardiovascular,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,raceandhispanicorigin_hisppop_c,raceandhispanicorigin_nonhisp_c,raceandhispanicorigin_nhspwht_c,raceandhispanicorigin_nhspblk_c,raceandhispanicorigin_nhspai_cy,raceandhispanicorigin_nhspasn_c,raceandhispanicorigin_nhsppi_cy,raceandhispanicorigin_nhspoth_c,raceandhispanicorigin_nhspmlt_c,Age0_17Pct,Age18_34Pct,Age35_54Pct,Age55_69Pct,Age70upPct,HispanicPct,WhitePct,Black_Pct,Asian_Pct,Am_Indian,Pac_Island,Other_Race,Multi_Race,No_HS,HS_Grad,Some_College,College,unemprt_cy,SHAPE_Length,SHAPE_Area
155,156,City of San Dimas / Unincorporated San Dimas,City of San Dimas / Unic. San Dimas,156,10361.82359052,44.619345,1564.462,Very Low,38.46421131,,,,,35231,2.74,94546,696,934,4131,330,6860,3211,6364,3775,26301,111,102,121,90,119,126,109,119,119,87,115,111,84,122,1436,1583,1823,2026,2064,2361,2603,2248,1896,2043,2317,2669,2677,2392,1895,1361,913,926,29175,398,413,35.70349249,4.15466932,7.25660354,BlockApportionment:US.BlockGroups,1,155,US,12255,22976,16570,1057,76,4077,42,61,1092,17.18940706,22.25029094,24.13783316,21.96361159,14.46169567,34.78470665,47.03244302,3.00019869,11.57219494,0.21571911,0.11921319,0.17314297,3.09954302,6,17,38,39,13.8,146104.579538498,-451359230.160751
156,007,City of Bradbury / Unincorporated Bradbury,City of Bradbury / Unic. Bradbury,7,1273.04007191,0.518366,0.64484721,Very Low,10.30246845,,,,,1409,2.43,130637,42,34,136,0,152,129,421,247,1161,94,115,113,74,160,178,129,125,111,63,152,162,65,150,41,48,60,61,37,49,81,103,61,60,83,123,126,105,98,72,44,161,1220,8,13,19.14546007,0.02171554,3.57365,BlockApportionment:US.BlockGroups,1,156,US,262,1147,750,22,0,340,0,2,33,13.41376863,13.34279631,21.78850248,25.12420156,26.6146203,18.59474805,53.2292406,1.56139106,24.13058907,0,0,0.14194464,2.34208659,7,12,24,58,12.6,36551.4510758814,-55453403.7181217
157,078,City of South El Monte/ Unincorporated El Monte/ Unincorporated Whittier Narrows,City of South El Monte/ Unic. El Monte - Whittier Narrows,78,1903.49242827,0.703984,15.727,Low,35.64852029,,,,,23080,4.41,52588,3680,2409,3850,296,1946,556,1049,388,14174,129,54,73,75,30,59,51,60,115,85,50,68,95,55,1793,1771,1741,1752,1850,1983,1854,1649,1454,1396,1277,1147,1004,869,605,422,283,231,16711,332,356,53.95778405,5.41498466,8.70302314,BlockApportionment:US.BlockGroups,1,157,US,19416,3665,662,34,22,2814,11,34,88,27.59532062,27.62131716,25.02599653,13.08492201,6.67677643,84.12478336,2.86828423,0.14731369,12.19237435,0.09532062,0.04766031,0.14731369,0.3812825,43,29,18,10,15.7,63235.8995778545,-82915798.511113
158,003,City of Vernon / Unincorporated Vernon,City of Vernon / Unic. Vernon,3,3330.36862276,0,0,Very Low,20.85950381,,,,,118,4.07,82759,6,0,14,0,27,11,24,2,84,102,130,125,110,89,118,89,134,218,108,100,142,60,116,8,2,4,9,11,9,7,12,7,7,6,5,12,6,2,3,4,4,98,2,1,93.5301046,0.23480582,11.13110378,BlockApportionment:US.BlockGroups,1,158,US,55,63,57,4,0,2,0,0,0,16.94915254,25.42372881,27.11864407,19.49152542,11.01694915,46.61016949,48.30508475,3.38983051,1.69491525,0,0,0,0,7,17,45,31,11.9,78023.9343471672,-145070276.924445
159,109,City of Lynwood/ Unincorporated Lynwood,City of Lynwood/ Unincorporated Lynwood,109,3183.55944543,1.643601,116.934,High,62.83471789,,,,,71213,4.6,52069,10218,7006,11402,1110,6868,1829,2363,703,41499,128,47,71,72,27,54,52,56,111,85,46,69,92,52,6136,6029,5678,5616,6255,6842,6058,5199,4220,4293,3741,3290,2685,2104,1336,857,457,417,49967,1084,1130,49.71032355,5.46563121,9.41020638,BlockApportionment:US.BlockGroups,1,159,US,62473,8739,1345,6307,73,421,179,156,258,29.83444034,30.00716161,24.50816564,11.34483872,4.30679792,87.72695997,1.8887001,8.856529,0.59118419,0.10250937,0.2513586,0.21906113,0.3622934,42,30,21,7,18.2,74146.9020314485,-138675294.739987
160,184,City of Cerritos \ Unincorporated Cerritos,City of Cerritos / Unic. Cerritos,184,5685.59558558,4.4,220.6,Low,83.74385254,,,,,50515,3.17,107321,1222,1195,4920,419,6550,3368,13111,7672,38457,94,101,77,60,65,138,91,136,91,85,93,172,89,124,1888,2140,2392,2735,2904,3476,3213,3002,2645,3102,3474,3597,3631,3567,3360,2702,1487,1199,42367,545,462,39.2223607,6.42266034,8.3801254,BlockApportionment:US.BlockGroups,1,160,US,6172,44343,7014,2971,48,32644,116,75,1476,16.12986242,20.98386618,24.19677324,21.36989013,17.31762843,12.21815302,13.88498466,5.88142136,64.62238939,0.09502128,0.22963476,0.14847075,2.92190438,6,14,26,54,14.2,118546.305439143,-247663553.050493
161,153,City of Lakewood / Unincorporated Lakewood,City of Lakewood / Unic. Lakewood,153,6071.97867421,1.956177,159.401,Low,55.61752907,,,,,81112,3.04,92217,2437,2725,11132,1275,14809,6572,12391,5547,56888,121,100,111,74,96,112,90,111,121,90,100,95,78,105,4477,4812,5189,4925,4822,5798,5873,5554,5345,5413,5810,5825,5112,4141,3077,2025,1361,1553,63632,971,951,49.15405108,4.42515173,8.8346929,BlockApportionment:US.BlockGroups,1,161,US,26131,54981,30128,6287,231,14391,672,170,3102,21.55044876,22.70317586,27.27339974,18.58911135,9.88263142,32.21594832,37.14370253,7.75101095,17.74213433,0.2847914,0.82848407,0.20958674,3.82434165,9,22,38,32,14.9,123428.90058673,-264494333.068158
162,165,City of Long Beach East / Unincorporated Long Beach ,City of Long Beach East / Unic. Long Beach ,165,9887.23079675,8.601173,680.671,Low,43.16646932,,,,,80100,2.61,105432,1312,1337,6892,767,12972,5304,16292,11465,56341,122,113,119,87,119,133,103,125,129,91,117,131,84,115,3601,3934,4573,5764,5886,4735,5185,4440,4678,5309,5734,5969,5586,4679,3601,2464,1641,2319,65346,1392,1726,22.57433798,3.42557983,5.82812453,BlockApportionment:US.BlockGroups,1,162,US,16373,63727,47615,2909,213,8853,312,201,3624,18.41947566,23.62546816,25.16978777,20.26716604,12.51560549,20.44069913,59.44444444,3.63171036,11.05243446,0.2659176,0.38951311,0.25093633,4.52434457,5,14,32,49,13.4,107426.154993377,-430686050.757139
163,086,City of Rolling Hills Estates / Unincorporated Westfield,City of Rolling Hills Estates / Unic. Westfield,86,2743.35672785,5.993033,61.075,Very Low,61.01732565,,,,,10046,2.65,175804,52,83,706,58,1016,452,2752,2401,7520,80,85,119,72,159,164,116,157,108,70,152,186,70,149,324,463,625,698,415,356,358,435,427,604,737,907,910,708,668,543,410,459,8191,144,111,14.48276307,4.5638296,4.08003944,BlockApportionment:US.BlockGroups,1,163,US,791,9255,5919,144,13,2685,9,19,465,18.46506072,13.77662751,21.92912602,25.13438184,20.70475811,7.87378061,58.91897273,1.43340633,26.72705554,0.12940474,0.0895879,0.18913,4.62870794,2,10,20,69,11.8,106561.259089525,-119500141.063096
164,067,City of LA Westchester - Playa del Rey / City of LA Los Angeles International Airport,City of LA Westchester - Playa del Rey - Los Angeles International Airport,67,9102.53556585,0.843841,49.536,High,15.60190057,,,,,63939,2.16,108518,365,594,3897,398,8429,2795,17362,12093,45933,122,129,111,102,131,179,112,169,115,99,135,200,108,121,2818,2759,2835,4252,5342,5108,5560,4919,4368,4159,4235,4200,3867,3176,2445,1661,1006,1229,54127,1096,1757,33.44682235,2.30898427,7.17637216,BlockApportionment:US.BlockGroups,1,164,US,10704,53235,32427,7264,88,9582,173,218,3483,15.34587654,29.50155617,27.65291919,17.5839472,9.91726489,16.74095622,50.71552574,11.36082829,14.98615868,0.13763118,0.27057039,0.34094997,5.44737953,2,9,24,64,14.7,114346.413441001,-396504863.224264
165,121,City of LA Wilmington - Harbor City / City of LA Port of Los Angeles,City of LA Wilmington - Harbor City - Port of Los Angeles,121,6855.24600071,4.574369,369.673,Moderate,61.76412707,,,,,79375,3.54,55186,9723,7438,11173,1212,8744,3015,4971,1889,48165,117,62,76,76,31,61,61,65,120,94,51,86,94,65,6336,6269,6035,6079,6488,7126,6041,5453,4845,4861,4403,4027,3507,2798,2143,1343,839,782,57145,1258,1232,54.81129906,2.67512965,8.192619,BlockApportionment:US.BlockGroups,1,165,US,61207,18168,6786,3608,132,5872,552,114,1103,28.00629921,27.8992126,24.64503937,13.01669291,6.43401575,77.1111811,8.54929134,4.54551181,7.39779528,0.16629921,0.69543307,0.14362205,1.3896063,36,26,24,14,18.6,141948.224836159,-298613321.333928
166,185,City of LA San Pedro / City of LA Port of Los Angeles / Unincorporated La Rambla,City of LA San Pedro / City of LA Port of Los Angeles / Unic. La Rambla,185,8333.63129727,8.744505,725.995,Moderate,88.96336754,,,,,82431,2.58,70935,4433,5049,11167,1988,12716,5311,11001,5222,56887,106,112,102,91,71,96,83,108,161,108,87,112,85,101,5021,5039,5185,4930,5372,6055,5606,5600,5279,5212,5468,5372,5001,4253,3331,2358,1571,1778,64229,986,986,67.87798446,2.90797131,7.94220023,BlockApportionment:US.BlockGroups,1,166,US,40525,41906,29094,4656,265,4750,287,201,2654,22.08149847,23.05564654,26.15399546,17.74332472,10.96432168,49.16232971,35.29497398,5.64836045,5.76239522,0.321481,0.34816998,0.2438403,3.21966251,17,23,32,29,18.5,302588.453694062,-363011518.059787
167,010,Unincorporated Agua Dulce/ Unincorporated Angeles National Forest/ Unincorporated Canyon Country,Unincorporated  Agua Dulce - Angeles National Forest - Canyon Country,10,154944.5731719,123.369211,5261.08,Low,0.04241951,,,,,10971,2.92,105532,294,432,1614,232,2214,773,1643,788,7990,106,108,130,95,133,133,117,132,115,96,121,119,114,124,506,574,675,682,542,703,787,663,574,689,902,964,904,688,512,336,153,115,8795,131,131,19.98461738,2.82588461,8.27591457,BlockApportionment:US.BlockGroups,1,167,US,2675,8296,6913,309,54,617,16,23,365,19.8341081,20.90967095,25.77704858,23.29778507,10.17227235,24.38246286,63.01157597,2.81651627,5.6239176,0.49220673,0.14583903,0.20964361,3.32695288,9,23,37,30,15.2,482664.541238134,-6749358609.85254
168,151,Santa Clarita - South,Santa Clarita - South,151,24128.18082145,4.776954,442.451,Moderate,16.17664343,,,,,100604,2.9,93105,3855,3119,11561,1338,17290,6231,16297,7728,67419,106,109,121,99,101,114,92,119,129,95,107,113,90,111,6144,6310,6640,6878,7212,7402,7385,7011,6177,6441,6517,6475,5793,4741,3568,2446,1599,1866,77508,1373,1504,31.50448795,3.92508831,8.85508301,BlockApportionment:US.BlockGroups,1,168,US,35300,65303,47681,3478,233,10584,118,240,2969,22.95733768,24.72665103,25.98902628,16.90688243,9.42209057,35.08806807,47.3947358,3.457119,10.52045644,0.23160113,0.11729156,0.2385591,2.9511749,10,19,35,36,15.8,234450.63805625,-1051019352.49254
169,179,Santa Clarita - North,Santa Clarita - North,179,18090.2059111,3.82494,491.107,Moderate,22.9917355,,,,,119466,3.16,110601,2302,3676,12776,1822,19300,9119,20945,10131,80071,118,111,129,93,123,126,104,132,123,101,119,117,110,116,7137,7875,8754,8497,7133,8379,8507,8152,8001,8676,9044,8703,7080,5162,3655,2257,1319,1136,90395,1676,1517,25.07161778,4.13283172,8.44951062,BlockApportionment:US.BlockGroups,1,169,US,34730,84736,62780,3873,272,13196,170,296,4151,24.33412017,22.7780289,28.35367385,17.53218489,7.00366632,29.07103276,52.55051646,3.24192657,11.04582057,0.22767984,0.1422999,0.24776924,3.47462876,7,18,35,39,16,276254.717186529,-788006217.452992
170,009,Unincorporated Acton/ Unincorporated South Antelope Valley,Unincorporated  Acton - South Antelope Valley,9,115230.58500509,0.794438,9.484,Very Low,0.76217291,,,,,11057,2.91,102188,255,523,1485,305,2255,864,1499,873,8059,121,97,122,67,112,122,104,111,101,92,108,94,73,112,425,499,625,739,709,661,508,482,533,816,1032,1130,956,733,536,355,190,127,9056,152,136,32.20932996,1.77449393,6.47716211,BlockApportionment:US.BlockGroups,1,170,US,2807,8250,7176,313,55,348,6,23,328,18.09713304,19.58940038,25.89309939,25.49516144,10.92520575,25.3866329,64.90006331,2.83078593,3.14732748,0.49742245,0.05426427,0.20801302,2.96644659,10,22,39,29,17.5,574269.873389264,-5019424205.06447
171,029,Unincorporated Angeles National Forest\ Unincorporated Sylmar\ Unincorporated Castaic - Val Verde,Unincorporated Angeles National Forest - Sylmar - Castaic - Val Verde,29,310558.73183871,51.111486,136.161,Low,5.01912733,,,,,2423,2.78,98446,136,153,299,89,333,125,427,216,1778,129,108,114,81,105,133,85,124,122,87,110,103,85,110,122,137,145,123,118,162,193,161,160,180,202,183,181,130,109,56,32,28,1943,21,25,33.14049486,0.03802983,6.1690846,BlockApportionment:US.BlockGroups,1,171,US,950,1473,1077,119,18,211,6,1,42,19.8101527,21.41972761,29.01361948,20.38794882,9.28600908,39.20759389,44.44903013,4.91126702,8.70821296,0.74288073,0.24762691,0.04127115,1.73338836,16,22,26,36,14.2,959783.584702928,-13527884247.1949
172,127,Unincorporated Azusa,Unincorporated Azusa,127,1002.11691159,2.5,41.781,Moderate,61.40549063,,,,,16338,4.47,69235,1617,1162,2895,369,1964,763,1102,393,10265,119,86,73,82,41,77,49,87,130,75,66,56,97,72,1244,1206,1180,1171,1271,1586,1490,1224,975,940,919,854,694,621,400,267,157,136,12039,239,265,56.09495113,4.34743677,7.97589127,BlockApportionment:US.BlockGroups,1,172,US,12392,3946,1921,341,30,1416,10,30,198,26.31289019,29.69151671,24.83780144,13.27579875,5.8758722,75.84771698,11.7578651,2.08715877,8.66691149,0.18362101,0.061207,0.18362101,1.21189864,27,32,27,15,16.9,96997.173821377,-43652038.0601704
173,060,City of LA Northridge,City of LA Northridge,60,6332.0760475,1.439836,98.217,High,15.46286954,,,,,68609,2.84,80860,2535,2227,8060,648,9979,3629,13264,7212,47554,106,117,114,96,91,123,91,123,155,104,106,141,92,107,3191,3267,3470,5375,5752,6189,6185,4528,3639,3854,4061,4132,3946,3343,2649,1902,1467,1658,56599,1601,1693,41.85051274,5.0329801,7.63684002,BlockApportionment:US.BlockGroups,1,173,US,22488,46121,26227,3715,113,13487,100,218,2262,17.50499206,31.22039383,23.44007346,16.6465041,11.18803655,32.77704091,38.22676325,5.41474151,19.65777085,0.16470142,0.14575347,0.31774257,3.29694355,10,18,29,43,15.3,77600.3490622224,-275824129.329408
174,079,City of Westlake Village,City of Westlake Village,79,3523.47742481,4.2,35,Very Low,54.64523327,,,,,8285,2.51,149833,10,72,577,79,841,276,2338,2085,6278,99,105,120,76,154,175,117,144,107,71,148,169,75,144,272,417,527,456,335,353,313,387,493,536,604,781,689,636,515,413,273,285,6757,83,61,13.4068974,2.65084598,4.77775845,BlockApportionment:US.BlockGroups,1,174,US,684,7601,6604,107,11,604,15,18,242,18.44296922,13.82015691,24.38141219,25.41943271,17.93602897,8.25588413,79.71031986,1.29149065,7.29028365,0.13277007,0.18105009,0.21726011,2.92094146,1,10,18,70,12.4,64471.432639489,-153482062.694586
175,101,City of Calabasas,City of Calabasas,101,8292.98589416,5.8,137.4,Very Low,55.56269433,,,,,23805,2.73,138714,260,207,1588,134,2646,889,5543,5507,16774,96,96,134,79,146,164,106,161,109,77,145,175,76,139,1022,1324,1672,1689,1326,1197,1212,1287,1248,1637,1836,2014,1842,1553,1197,823,507,421,18686,309,279,17.66156083,4.01463907,5.54461896,BlockApportionment:US.BlockGroups,1,175,US,1728,22077,18233,363,28,2392,4,66,992,21.50388574,18.16005041,25.2383953,22.7221172,12.38395295,7.25897921,76.5931527,1.52488973,10.04830918,0.11762235,0.01680319,0.27725268,4.16719177,3,10,21,66,12.8,142462.838510355,-361241020.5811
176,001,City of Hidden Hills,City of Hidden Hills,1,1081.77217537,0,0,Not Participating,3.99976562,,,,,1864,3.14,200001,13,19,89,0,209,46,523,366,1265,76,76,121,71,159,160,113,166,106,71,152,193,73,149,52,128,187,160,71,42,32,49,120,156,168,175,146,136,107,56,37,41,1384,35,13,13.84295315,5.44852078,4.46262527,BlockApportionment:US.BlockGroups,1,176,US,150,1714,1568,36,3,65,1,4,38,25.75107296,10.35407725,26.44849785,24.51716738,12.92918455,8.0472103,84.12017167,1.93133047,3.48712446,0.16094421,0.05364807,0.21459227,2.03862661,3,7,20,70,14.4,43143.205730584,-47121807.4711144
177,081,City of Agoura Hills,City of Agoura Hills,81,4995.57045915,2.325132,47.914,Very Low,44.20245931,,,,,20379,2.76,131125,191,279,1825,137,2520,952,5527,3380,14811,106,108,145,86,142,160,112,151,104,80,137,145,89,135,814,1001,1311,1346,1096,1209,1208,1157,1148,1347,1596,1932,1661,1355,953,588,303,353,16345,236,202,17.98004608,4.77732524,6.10590393,BlockApportionment:US.BlockGroups,1,177,US,2172,18207,15265,269,24,1876,21,48,704,19.79488689,19.38760489,25.75199961,24.27989597,10.78070563,10.65803033,74.90554002,1.31998626,9.20555474,0.11776829,0.10304725,0.23553658,3.45453653,3,13,23,60,14,80335.9946453707,-217606178.773305
178,075,City of Malibu,City of Malibu,75,12649.84723337,9.1,116.97,Very Low,24.79957614,,,,,12454,2.29,157275,93,105,830,103,1407,714,3432,2582,9266,113,104,124,78,148,181,106,155,103,77,146,173,83,138,359,459,613,935,822,516,706,628,593,696,896,1080,1089,992,816,551,359,346,10495,199,207,9.83005327,4.89086364,3.85204479,BlockApportionment:US.BlockGroups,1,178,US,945,11509,10430,165,17,459,15,18,404,15.72988598,19.67239441,22.5871206,25.38140357,16.63722499,7.58792356,83.74819335,1.32487554,3.68556287,0.13650233,0.12044323,0.14453188,3.24393769,2,10,23,65,13,251153.884941322,-551025141.378473
179,016,Unincorporated Malibu ,Unincorporated Malibu ,16,31700.95380313,6.806363,37.224,Low,19.07801413,,,,,6170,2.78,181293,36,56,253,34,499,198,1107,1135,3318,121,107,125,80,145,184,102,156,102,79,144,171,87,135,156,188,266,1257,986,209,189,246,290,285,316,371,392,313,272,196,137,101,5263,426,534,8.47201612,4.60425194,3.17810687,BlockApportionment:US.BlockGroups,1,179,US,633,5537,4491,214,10,530,6,12,275,14.70016207,37.99027553,18.42787682,17.43922204,11.44246353,10.25931929,72.78768233,3.46839546,8.58995138,0.16207455,0.09724473,0.19448947,4.45705024,3,9,21,68,15.2,354435.490120764,-1380888024.09582
180,058,City of LA Canoga Park - Winnetka,City of LA Canoga Park - Winnetka,58,5024.95514951,0.459554,41.722,Very High,23.18259695,,,,,90173,3.2,68851,8546,5251,12572,1119,11491,4372,11661,4934,59946,106,103,98,86,56,88,71,96,141,105,76,88,96,91,5852,5911,5970,5810,6684,7505,6922,6781,6223,6224,5792,5332,4569,3565,2631,1726,1228,1450,68974,1169,1175,51.97349283,5.32915462,8.65342091,BlockApportionment:US.BlockGroups,1,180,US,47228,42946,22397,3417,135,14268,103,250,2377,23.50925443,26.01111197,27.74666474,14.93351668,7.80167012,52.3748794,24.83781176,3.78938263,15.82291817,0.14971222,0.11422488,0.27724485,2.63604405,23,23,26,28,16.7,61741.2103915404,-218886170.76544
181,038,Unincorporated Santa Monica Mountains/ Unincorporated Triunfo Canyon,Unincorporated Santa Monica Mountains - Triunfo Canyon,38,26051.32495684,69.933321,392.256,Very Low,29.49612757,,,,,5711,2.97,146768,13,52,515,56,747,289,1368,1046,4086,111,106,128,80,145,177,106,153,106,77,144,169,81,137,198,283,393,429,322,262,249,279,357,416,515,514,473,371,290,175,97,88,4553,87,59,11.58692443,3.40672045,4.06333713,BlockApportionment:US.BlockGroups,1,181,US,506,5205,4582,77,15,312,3,14,201,20.27665908,17.14235686,27.43827701,23.77867274,11.38154439,8.86009455,80.2311329,1.34827526,5.46314131,0.26265102,0.0525302,0.24514096,3.51952373,2,14,25,59,13.4,377017.585624297,-1134791175.94147
182,064,Unincorporated Topanga Canyon / Topanga,Unincorporated Topanga Canyon - Topanga,64,15425.70921041,1.740899,13.868,Very Low,46.01889375,,,,,7760,2.44,140572,3,75,511,17,996,264,1955,1970,5791,146,124,127,85,137,198,96,150,99,83,140,158,95,128,313,380,446,461,371,374,305,395,429,549,645,792,718,625,481,256,118,103,6333,91,81,9.85395393,3.29989471,3.81223784,BlockApportionment:US.BlockGroups,1,182,US,571,7189,6384,104,27,366,1,23,284,18.38917526,15.74742268,26.00515464,27.5128866,12.34536082,7.35824742,82.26804124,1.34020619,4.71649485,0.34793814,0.0128866,0.29639175,3.65979381,1,9,22,68,15.6,175900.476436232,-671941205.432599
183,146,City of LA West Hills - Woodland Hills \ Unic Conoga Park - West Hills,City of LA West Hills - Woodland Hills \ Unic. Conoga Park - West Hills,146,13035.30207309,2.570857,232.151,Moderate,31.73092183,,,,,94400,2.52,108909,1354,1909,9169,1039,12748,6079,23561,14643,70502,113,112,126,81,129,152,107,137,114,84,127,143,77,126,4141,4700,5435,5203,4418,5403,6285,6578,5607,6271,6853,7469,6848,5757,4729,3326,2434,2943,76820,994,905,34.70213899,4.07428163,6.8290483,BlockApportionment:US.BlockGroups,1,183,US,11683,82717,61854,3553,152,12280,88,225,4563,18.62288136,19.07309322,26.81038136,21.26483051,14.22881356,12.37605932,65.52330508,3.76377119,13.00847458,0.16101695,0.09322034,0.23834746,4.83368644,5,14,27,54,15.1,131142.424980444,-567815487.035187
184,152,City of LA Chatsworth - Porter Ranch / Unin. Chatsworth / Unic. Northridge / Unic. Conoga Park / Unic Porter Ranch-Oat Mountain,City of LA Chatsworth - Porter Ranch / Unin. Northridge - Conoga Park - Oat Mountain,152,26378.80052245,3.94779,394.021,Low,41.94212593,,,,,103659,2.86,92580,3536,3686,12982,1328,14338,6502,21219,11796,75387,106,103,110,81,96,127,97,120,125,95,107,128,87,117,5030,5414,5932,6055,5842,6790,7007,6925,6185,6869,7205,7569,7155,6192,5131,3582,2348,2428,83564,1193,1142,34.54560532,4.23555072,6.64544219,BlockApportionment:US.BlockGroups,1,184,US,29117,74542,42958,4149,179,23435,119,223,3478,19.38567804,21.19835229,26.22444747,20.17769803,13.01285947,28.0892156,41.44165003,4.00254681,22.60778128,0.17268158,0.11479949,0.21512845,3.35523206,10,19,28,44,14.2,177572.378802645,-1149055954.52041
185,053,City of Avalon / Unincorporated Channel Islands North,City of Avalon / Unic. Channel Islands,53,47833.89271235,1.014801,4.251,Very Low,59.27867701,,,,,4151,2.51,64294,100,149,807,15,863,252,362,337,2885,110,121,114,93,72,115,79,117,172,122,94,115,96,106,242,209,290,264,261,315,283,288,246,259,322,325,247,209,168,78,80,65,3244,59,39,49.39,0.0696631,6.76,BlockApportionment:US.BlockGroups,1,185,US,2344,1807,1656,12,7,61,10,4,57,21.85015659,23.05468562,26.86099735,18.81474344,9.41941701,56.46832089,39.89400145,0.28908697,1.46952542,0.16863406,0.24090581,0.09636232,1.37316309,9,28,39,24,21.9,328473.617000771,-2083636031.98084
186,091,Unincorporated Castaic - Val Verde,Unincorporated Castaic - Val Verde,91,134847.35811428,263.758855,5407.238,Moderate,12.6453067,,,,,40111,3.3,123574,797,2474,3907,949,6142,2518,5837,3185,25809,100,88,91,76,103,97,68,109,97,84,99,94,90,91,2280,2564,2761,3138,3559,3508,3385,3270,3067,2974,2703,2356,1793,1208,758,390,213,185,30990,775,847,24.56096818,3.4902392,9.88847895,BlockApportionment:US.BlockGroups,1,186,US,13349,26762,16660,3076,56,5494,36,91,1350,22.73939817,30.10146843,29.95188352,13.35543866,3.85430431,33.28014759,41.53474109,7.6687193,13.69699085,0.13961258,0.08975094,0.22687043,3.36566029,13,19,34,35,15.7,464365.616229038,-5873927423.67802
187,049,Unincorporated Stevenson/Newhall Ranch/ Unincorporated Castaic - Val Verde,Unincorporated Stevenson - Newhall Ranch - Castaic - Val Verde,49,31300.07267155,9.858612,197.468,Very Low,30.72774635,,,,,20481,3.07,139134,203,299,1452,190,2578,1400,4285,2861,13268,123,130,162,104,135,141,114,159,142,108,136,149,116,124,1213,1493,1592,1588,1328,1480,1264,1379,1566,1617,1667,1429,1009,659,567,300,188,145,15189,289,304,19.32051265,4.25338728,7.84939125,BlockApportionment:US.BlockGroups,1,187,US,3487,16995,10026,635,56,5382,27,60,809,25.8385821,22.77720814,30.41355403,15.12133197,5.85908891,17.02553586,48.95268786,3.10043455,26.27801377,0.27342415,0.1318295,0.29295445,3.95000244,4,12,30,54,15.3,193212.629452542,-1363425782.41293
188,032,Unincorporated East San Gabriel/ Unincorporated Arcadia,Unincorporated East San Gabriel - Arcadia,32,1409.57391922,0.110199,2.619,Very High,14.76353433,,,,,22978,3.05,81040,1274,833,3269,226,2510,1358,4725,2440,16635,94,108,85,72,60,122,89,118,116,94,89,140,87,125,1110,1183,1319,1359,1371,1517,1628,1627,1419,1577,1624,1652,1481,1339,1084,688,485,516,18535,269,258,20.49343764,4.28332137,4.69686807,BlockApportionment:US.BlockGroups,1,188,US,6142,16837,3636,269,31,12410,7,31,453,19.3358865,21.94707982,27.1868744,19.46209418,12.06806511,26.72991557,15.82383149,1.170685,54.00818174,0.13491165,0.03046392,0.13491165,1.97145095,13,21,23,43,13,87349.2139445963,-61400794.3174141
189,***,*Entire Los Angeles County,*Entire Los Angeles County,0,901647,3.3,901647,***,49,,,,,10172564,2.99,69788,799817,559404,1310464,122689,1281127,494950,1492605,821597,6882653,111,97,94,88,68,101,79,106,127,96,86,111,94,92,617866,626908,638614,657377,749147,854769,799338,727553,640829,647521,642431,624410,558082,457387,352915,240918,160681,175818,7909870,136047,142025,43.42696452,3.38590284,8.08246421,BlockApportionment:US.BlockGroups,1,189,US,4979822,5192742,2592721,788697,18177,1507307,22437,24434,238969,22.2431041,26.35840876,26.13238904,16.12060637,9.14550157,48.95345952,25.48738941,7.75317806,14.81737544,0.17868651,0.22056386,0.2401951,2.34915209,20,21,26,34,16.8,2918801.66336694,-113863152935.356
